id	municipio	per_ext_pub	per_ext_pri	alum_total	alum_pub	alum_pri	ext_pub	ext_pri	provincia	indice_gorard	diferencia	cociente
222	todas	0	0	0	0	0	0	0	place			
222	araba											
222	gipuzkoa											
222	bizkaia											
222	test	0	0									
222	test	31	31									
5	AGURAIN/SALVATIERRA	14.3	6.5	1003	740	263	106	17	araba	0.17	7.8	2.20
15	AMOREBIETA-ETXANO	17	3	3917	1097	2820	186	84	bizkaia	0.40	14	5.67
17	AMURRIO	11.8	5.5	1756	802	954	95	52	araba	0.20	6.3	2.15
18	ANDOAIN	29.6	2.6	2214	382	1832	113	48	gipuzkoa	0.52	27	11.38
37	AZKOITIA	11.8	10	1900	1257	643	148	64	gipuzkoa	0.06	1.8	1.18
38	AZPEITIA	7	5.2	2489	1263	1226	89	64	gipuzkoa	0.16	1.8	1.35
40	BALMASEDA	8.2	8.4	1099	625	474	51	40	bizkaia	0.07	-0.2	0.98
41	BARAKALDO	10.2	3.8	12200	6225	5975	638	226	bizkaia	0.36	6.4	2.68
42	BASAURI	8.3	2.8	4261	2964	1297	247	36	bizkaia	0.34	5.5	2.96
43	BEASAIN	13.7	9.4	2566	1575	991	215	93	gipuzkoa	0.24	4.3	1.46
44	BERANGO	4.7	0.7	478	342	136	16	1	bizkaia	0.31	4	6.71
46	BERMEO	9.6	5.8	2253	793	1460	76	85	bizkaia	0.20	3.8	1.66
51	BILBAO	12.7	5.5	37333	14836	22497	1880	1230	bizkaia	0.40	7.2	2.31
56	DONOSTIA / SAN SEBASTIÁN	8.9	4.6	24717	8968	15749	799	729	gipuzkoa	0.43	4.3	1.93
57	DURANGO	12.7	4.6	4619	1386	3233	176	150	bizkaia	0.21	8.1	2.76
59	EIBAR	14.1	2.4	3671	2454	1217	346	29	gipuzkoa	0.42	11.7	5.88
61	ELORRIO	9	5	1108	668	440	60	22	bizkaia	0.26	4	1.80
62	ERANDIO	6.2	3.3	2348	1702	646	105	21	bizkaia	0.30	2.9	1.88
63	ERMUA	9.5	3.8	1873	1265	608	120	23	bizkaia	0.28	5.7	2.50
64	ERRENTERIA	14	2.7	4882	2478	2404	346	65	gipuzkoa	0.36	11.3	5.19
70	GALDAKAO	4.1	0.6	3114	2416	698	98	4	bizkaia	0.34	3.5	6.83
73	GERNIKA-LUMO	7	11	2826	1145	1681	80	185	bizkaia	0.39	-4	0.64
75	GETXO	9.3	6.2	6108	3016	3092	281	191	bizkaia	0.46	3.1	1.50
78	GÜEÑES	10.1	1.4	1049	494	555	50	8	bizkaia	0.40	8.7	7.21
79	HERNANI	4.6	32.8	2453	2218	235	103	77	gipuzkoa	0.36	-28.2	0.14
80	HONDARRIBIA	5.4	2.9	2437	1387	1050	75	30	gipuzkoa	0.20	2.5	1.86
85	IRUN	11.6	5	7465	4816	2649	561	132	gipuzkoa	0.30	6.6	2.32
86	IRUÑA OKA/IRUÑA DE OCA	7	11.7	772	712	60	50	7	araba	0.04	-4.7	0.60
93	LABASTIDA/BASTIDA	26.4	1.8	253	87	166	23	3	araba	0.47	24.6	14.67
99	LAUDIO/LLODIO	8.3	4.4	2513	1227	1286	102	57	araba	0.30	3.9	1.89
102	LEGAZPI	5.9	1.6	1075	460	615	27	10	gipuzkoa	0.25	4.3	3.69
105	LEIOA	8.2	1.5	7612	1958	5654	160	83	bizkaia	0.52	6.7	5.47
106	LEKEITIO	4.5	2.6	1146	726	420	33	11	bizkaia	0.12	1.9	1.73
110	LEZO	5.5	2.9	959	750	209	41	6	gipuzkoa	0.17	2.6	1.90
114	MARKINA-XEMEIN	10	9.8	846	490	356	49	35	bizkaia	0.05	0.2	1.02
