zona_id,zona,provincia,alum_bec_mat_escolar,alum_bec_comedor,alum_mat_escolar_total,alum_comedor_total,perc_material_m15,perc_comedor_m16,perc_bec_mat_escolar_pub,perc_bec_mat_escolar_priv,dif_perc_bec_mat_escolar_dif,perc_bec_comedor_pub,perc_bec_comedor_priv,dif_perc_bec_comedor,total_alumnado,perc_alum_ext_pub,perc_alum_ext_priv,perc_alum_ext_todos,indice_desigualdad,alum_ext_total,alum_ext_pub,alum_ext_kristau_eskola,alum_ext_partaide,alum_ext_otros_priv,perc_reparto_alum_ext_pub,perc_reparto_alum_ext_priv,municipios_barrios
111,Amurrio,araba,1031,557,2351,2219,44,25,48,35,13,33,14,19,1467,8.3,4.3,6.7,1.9,98,73,15,10,,74.5,25.5,"Aiara, Amurrio, Artziniega, Okondo, Orduña"
112,Llodio,araba,1246,594,3349,2777,37,21,38,35,3,26,15,11,1971,7.5,5.1,6.4,1.5,126,80,44,2,,63.5,36.5,"Llodio, Orozko"
121,Vitoria-Oeste,araba,4696,1966,10802,10050,43,20,44,43,1,25,7,18,7032,11.3,1.8,8.2,6.3,578,537,36,,5,92.9,7.1,"Gasteizk, Zigoitia, Zuia"
122,Vitoria-Norte,araba,3824,1732,8839,7408,43,23,44,41,3,31,6,25,5002,16.4,11.1,14.6,1.5,731,545,186,,,74.6,25.4,"Arrazua, Gasteiz"
123,Vitoria-Sureste,araba,6878,3027,22585,17588,31,17,46,19,27,35,5,30,12489,21.2,4.1,10.6,5.2,1330,1016,310,2,2,76.4,23.6,"Alegria-Dulantzi, Gasteiz, Legutiano, Urkabustaiz"
124,Montaña-alavesa,araba,118,70,228,246,52,28,52,0,52,28,0,28,156,11.5,,11.5,,18,18,,,,100,0,"Arraia-Maeztu, Kanpezu"
125,araba/Álava-occidental,araba,446,323,1012,1087,44,30,45,29,16,31,15,16,752,7.6,6.4,7.4,1.2,56,51,5,,,91.1,8.9,"Erribera Beitia, Iruña Oka, Valdegovia"
131,Rioja-alavesa,araba,964,524,1835,1800,53,29,64,36,28,35,20,15,1236,26,0.6,15.5,44,192,189,,3,,98.4,1.6,"Elciego, Labastida, Laguardia, Lantziego, Lapuebla, Mañueta, Oion"
141,Llanada-oriental,araba,529,210,1125,1154,47,18,47,46,1,20,12,8,774,13.5,7.3,12.3,1.9,95,84,,11,,88.4,11.6,"Agurain, Asparrena"
211,Arrasate,gipuzkoa,1440,489,7129,6244,20,8,28,15,13,14,3,11,4423,11.5,3.6,6.8,3.2,302,210,14,78,,69.5,30.5,"Aramaio, Aretxabaleta, Arrasate, Eskoriatza, Oñate"
212,Bergara,gipuzkoa,902,365,3484,2984,26,12,31,17,14,18,3,15,2053,12.1,4.7,9.2,2.6,189,151,29,9,,79.9,20.1,"Antzuola, Bergara, Elgeta, Soraluze"
221,Eibar,gipuzkoa,1721,782,4591,3600,37,22,40,32,8,29,7,22,2547,11.5,2.7,8.4,4.3,214,190,24,,,88.8,11.2,Eibar
222,Elgoibar,gipuzkoa,1420,610,4256,3468,33,18,36,26,10,22,9,13,2394,9.2,5.9,8.2,1.6,197,156,15,26,,79.2,20.8,"Deba, Elgoibar, Mendaro, Mutriku"
231,Alto-Oria,gipuzkoa,2072,826,7545,6811,27,12,30,24,6,15,7,8,4694,9.6,7.1,8.6,1.4,402,270,24,108,,67.2,32.8,"Ataun, Beasain, Gabiria, Idiazabal, Itsasondo, Lazkao, Legorreta, Olaberria, Ordizia, Ormaiztegi, Segura, Zaldibia, Zegama, Zerain"
232,Alto-Urola,gipuzkoa,1273,360,3821,3521,33,10,39,30,9,16,7,9,2524,7.4,4.3,5.4,1.7,137,67,12,58,,48.9,51.1,"Legazpi, Urretxu, Zumarraga"
241,Urola-Medio,gipuzkoa,1594,379,4900,4735,33,8,31,36,-5,9,7,2,3266,9.2,9.4,9.3,1,304,178,104,22,,58.6,41.4,"Azkoitia, Azpeitia, Errezil, Zestoa"
242,Kosta,gipuzkoa,2313,791,7515,6878,31,12,37,25,12,18,6,12,4843,5.7,2.4,3.9,2.3,191,128,38,25,,67,33,"Aia, Aizarnazabal, Getaria, Orio, Zarautz, Zestoa, Zumaia"
