zona-id,zona,total-alumnado,perc_alum_ext_publi,perc_alum_ext_priv,perc_alum_ext_todos,indice-desigualdad,alum-ext-total,alum-ext-publi,alum-ext-kristau-eskola,alum-ext-partaide,alum-ext-otros-privados,perc_reparto_alum-ext-publi,perc_reparto_alum-ext-privada
111,Amurrio,1467,8.3,4.3,6.7,1.9,98,73,15,10,,74.5,25.5
112,Llodio,1971,7.5,5.1,6.4,1.5,126,80,44,2,,63.5,36.5
121,Vitoria-Oeste,7032,11.3,1.8,8.2,6.3,578,537,36,,5,92.9,7.1
122,Vitoria-Norte,5002,16.4,11.1,14.6,1.5,731,545,186,,,74.6,25.4
123,Vitoria-Sureste,12489,21.2,4.1,10.6,5.2,1330,1016,310,2,2,76.4,23.6
124,Montaña-alavesa,156,11.5,,11.5,,18,18,,,,100.0,0.0
125,Araba/Álava-occidental,752,7.6,6.4,7.4,1.2,56,51,5,,,91.1,8.9
131,Rioja-alavesa,1236,26,0.6,15.5,44,192,189,,3,,98.4,1.6
141,Llanada-oriental,774,13.5,7.3,12.3,1.9,95,84,,11,,88.4,11.6
211,Arrasate,4423,11.5,3.6,6.8,3.2,302,210,14,78,,69.5,30.5
212,Bergara,2053,12.1,4.7,9.2,2.6,189,151,29,9,,79.9,20.1
221,Eibar,2547,11.5,2.7,8.4,4.3,214,190,24,,,88.8,11.2
222,Elgoibar,2394,9.2,5.9,8.2,1.6,197,156,15,26,,79.2,20.8
231,Alto-Oria,4694,9.6,7.1,8.6,1.4,402,270,24,108,,67.2,32.8
232,Alto-Urola,2524,7.4,4.3,5.4,1.7,137,67,12,58,,48.9,51.1
241,Urola-Medio,3266,9.2,9.4,9.3,1,304,178,104,22,,58.6,41.4
242,Kosta,4843,5.7,2.4,3.9,2.3,191,128,38,25,,67.0,33.0
251,Tolosa,5212,6.2,5.2,5.6,1.2,293,144,75,74,,49.1,50.9
261,Hernani,2226,3.6,38,6.6,0.1,147,74,73,,,50.3,49.7
262,Lasartealdea,1862,7.7,1.3,5.9,6,109,102,,7,,93.6,6.4
263,Andoain,1850,21.5,1.9,4.5,11.1,84,53,16,15,,63.1,36.9
271,Donostia–Margen-izquierda,11265,6,3.4,4.3,1.8,489,247,185,,57,50.5,49.5
272,Donostia–Margen-derecha,4506,6.4,5.6,5.9,1.1,264,99,162,3,,37.5,62.5
273,Donostia–Este,2856,12.7,6.6,9.4,1.9,268,166,62,,40,61.9,38.1
281,Renteria,6475,8.5,2.2,5.1,3.9,333,258,52,20,3,77.5,22.5
291,Bidasoa,7350,9.1,4.1,7.2,2.2,530,416,103,,11,78.5,21.5
311,Bermeo,1772,7.8,7.1,7.4,1.1,131,60,,23,48,45.8,54.2
312,Urdaibai,2412,5.6,12.9,9,0.4,217,71,96,15,35,32.7,67.3
321,Lea-Artibai,2415,5.5,9.3,6.8,0.6,165,87,,12,66,52.7,47.3
331,Amorebieta,2724,10.5,1.7,4.2,6.2,115,82,30,1,2,71.3,28.7
332,Durango,6052,7.4,4.3,6.1,1.7,369,258,80,25,6,69.9,30.1
333,Ermua,1313,7.2,6,6.9,1.2,90,66,,,24,73.3,26.7
341,Igorre,1184,6.2,,6.2,,73,73,,,,100.0,0.0
342,Galdakao,2169,4.1,0.6,3.4,6.7,73,70,,3,,95.9,4.1
351,Arrigorriaga,1626,3.2,4.1,3.4,0.8,55,44,11,,,80.0,20.0
352,Basauri,3911,5.1,1.8,4.4,2.9,171,155,13,,3,90.6,9.4
361,Encartaciones,3064,8.7,3.2,6.5,2.7,198,157,6,19,16,79.3,20.7
371,Trapaga,1880,4.4,0.7,2.2,6.1,41,33,6,1,1,80.5,19.5
372,Abanto,2019,2.2,3.5,2.6,0.6,53,30,,,23,56.6,43.4
381,Txorierri,7831,4.4,1.3,1.9,3.4,146,63,28,,55,43.2,56.8
382,Mungia,2317,4.7,2.8,3.7,1.7,86,53,,14,19,61.6,38.4
391-392,Leioa-Getxo,10575,10,2.4,5.2,4.1,530,392,105,11,45,74.0,30.4
393,Uribe-Kosta,2330,3,2.2,2.8,1.4,66,54,,12,,81.8,18.2
394,Erandio,1612,7.5,5,6.8,1.5,110,88,22,,,80.0,20.0
411,Barakaldo,5097,10.2,7.6,9.2,1.3,467,312,155,,,66.8,33.2
412,Cruces,3174,7.2,4.3,5.1,1.7,163,63,27,,73,38.7,61.3
421,Sestao,2042,8.2,6,7.3,1.4,150,104,46,,,69.3,30.7
422,Portugalete,4577,6.4,2.4,4.2,2.6,190,127,63,,,66.8,33.2
423,Santurtzi,3567,5.5,4.1,4.7,1.3,168,85,58,16,9,50.6,49.4
B-1,Deusto,3719,5.6,4.4,5,1.3,185,98,87,,,53.0,47.0
B-2,Uribarri,4156,13.2,4.1,6.6,3.2,275,151,118,,6,54.9,45.1
B-3,Txurdinaga-Otxarkoaga,3629,8.4,2.3,4.3,3.6,156,100,,5,51,64.1,35.9
B-4,Begoña,2517,5.6,4.4,4.9,1.3,123,60,63,,,48.8,51.2
B-5,Ibaiondo,4530,8.2,11.6,9.9,0.7,450,186,255,9,,41.3,58.7
B-6,Abando,6054,19.7,3.3,7.4,5.9,446,295,151,,,66.1,33.9
B-7,Rekalde,1744,17,20.4,18.3,0.8,319,184,135,,,57.7,42.3
B-8,Basurto-Zorroza,829,10.1,,10.1,,84,84,,,,100.0,0.0
